f1,f2,f3,f4,label
5.23,3.52,1.92,-0.03,setosa
4.54,3.53,1.60,0.30,setosa
4.94,3.17,1.53,0.04,setosa
6.89,2.93,5.38,2.16,virginica
6.03,2.38,4.71,1.10,versicolor
6.53,2.93,5.94,1.88,virginica
6.02,3.03,4.38,1.26,versicolor
6.44,2.65,5.89,2.01,virginica
6.38,3.29,5.56,1.92,virginica
4.98,3.55,1.68,0.44,setosa
5.50,2.64,4.27,1.41,versicolor
5.82,2.35,3.74,1.33,versicolor
6.14,2.83,4.71,1.40,versicolor
5.78,3.04,4.34,1.39,versicolor
5.76,2.77,4.85,1.09,versicolor
6.20,3.19,4.00,1.42,versicolor
5.89,2.88,4.34,0.91,versicolor
4.36,3.35,1.12,0.30,setosa
6.42,2.95,5.25,2.02,virginica
6.71,2.90,5.82,2.09,virginica
6.89,3.06,5.26,2.13,virginica
5.47,3.56,1.20,0.14,setosa
6.81,3.02,4.91,1.80,virginica
6.24,3.02,5.53,1.79,virginica
4.89,3.22,1.55,0.65,setosa
5.14,3.48,1.06,0.22,setosa
6.31,2.94,5.45,1.76,virginica
4.53,3.28,1.41,-0.12,setosa
4.99,3.58,1.21,0.21,setosa
6.29,3.21,5.71,1.99,virginica
5.74,2.68,4.38,1.32,versicolor
5.78,2.65,4.28,1.35,versicolor
6.51,2.62,4.92,1.31,versicolor
6.40,3.01,5.81,1.94,virginica
5.41,3.13,3.91,1.32,versicolor
6.97,3.06,5.18,1.89,virginica
5.01,3.11,1.82,0.70,setosa
6.23,2.94,5.73,1.93,virginica
6.73,3.18,5.09,2.04,virginica
6.24,2.96,4.02,1.17,versicolor
6.10,2.89,4.35,1.13,versicolor
5.81,2.91,4.34,1.26,versicolor
6.26,2.60,5.07,1.10,versicolor
6.21,2.93,5.48,1.87,virginica
4.96,3.54,1.69,0.25,setosa
5.20,3.04,1.41,0.32,setosa
5.92,2.66,4.17,1.40,versicolor
5.69,2.76,3.77,1.32,versicolor
6.71,2.92,5.75,1.92,virginica
5.48,3.10,4.24,1.36,versicolor
6.32,3.13,5.81,2.16,virginica
6.79,2.99,5.35,2.10,virginica
6.00,2.85,3.40,1.20,versicolor
6.47,2.90,5.08,2.40,virginica
5.36,3.35,1.83,0.09,setosa
6.25,2.99,5.80,2.19,virginica
6.30,2.89,4.06,1.43,versicolor
5.60,2.93,5.20,1.07,versicolor
5.09,3.12,1.60,0.18,setosa
5.04,3.25,1.71,0.23,setosa
6.11,3.26,5.40,1.47,virginica
5.51,3.59,1.25,0.13,setosa
6.32,2.81,4.80,1.25,versicolor
4.90,3.69,1.83,0.35,setosa
6.54,2.75,5.91,2.42,virginica
4.75,3.26,2.07,0.03,setosa
6.34,3.08,5.33,2.14,virginica
6.53,3.09,5.21,2.16,virginica
5.83,2.91,3.93,1.19,versicolor
5.94,3.00,4.30,1.33,versicolor
7.32,3.01,5.92,1.54,virginica
5.41,3.62,1.75,0.46,setosa
6.65,2.95,5.46,2.29,virginica
5.91,2.66,4.52,1.39,versicolor
5.68,2.48,4.59,1.57,versicolor
4.60,3.13,1.61,0.13,setosa
4.75,3.68,1.48,0.23,setosa
6.46,3.07,5.57,1.85,virginica
6.45,2.61,3.76,1.37,versicolor
6.15,2.68,5.40,2.06,virginica
4.99,3.41,1.27,0.33,setosa
5.48,3.04,3.71,1.12,versicolor
6.46,2.98,5.72,2.00,virginica
5.57,3.51,1.37,0.07,setosa
5.35,3.24,1.16,0.14,setosa
6.96,3.03,5.45,2.09,virginica
5.73,2.84,4.59,1.33,versicolor
4.71,3.39,1.85,0.06,setosa
5.41,3.00,5.79,2.07,virginica
6.82,3.35,5.23,2.10,virginica
5.21,3.51,1.20,0.11,setosa
6.46,2.59,4.85,1.47,versicolor
5.37,3.16,4.09,1.57,versicolor
6.78,2.73,5.46,2.00,virginica
5.59,2.58,4.33,1.26,versicolor
4.53,3.31,0.93,0.02,setosa
7.34,2.59,5.60,1.69,virginica
6.26,2.74,3.95,1.44,versicolor
6.17,3.03,5.40,1.89,virginica
4.54,3.17,1.39,0.32,setosa
5.86,2.81,4.10,1.03,versicolor
7.15,2.98,5.53,2.09,virginica
6.56,2.66,5.74,2.18,virginica
6.64,2.90,4.28,1.06,versicolor
6.17,2.67,4.45,1.17,versicolor
4.64,3.38,1.51,0.06,setosa
5.66,3.70,1.16,-0.05,setosa
5.22,3.41,1.87,0.33,setosa
6.50,3.02,5.26,2.23,virginica
4.93,3.49,1.70,0.19,setosa
6.71,3.13,4.62,1.25,versicolor
6.15,3.04,4.35,1.40,versicolor
6.05,2.79,4.54,0.96,versicolor
5.12,2.91,1.30,0.17,setosa
6.42,2.77,5.49,2.16,virginica
5.25,3.51,2.04,0.30,setosa
6.05,3.02,4.29,1.48,versicolor
6.60,2.79,5.20,2.11,virginica
6.57,2.85,5.60,2.27,virginica
6.07,2.87,4.20,1.36,versicolor
6.03,2.99,3.69,1.36,versicolor
5.06,3.29,1.48,0.01,setosa
5.74,2.86,4.93,1.49,versicolor
5.18,3.32,1.76,0.29,setosa
4.58,3.66,1.57,-0.02,setosa
6.08,2.52,4.82,1.49,versicolor
6.11,2.55,4.75,1.49,versicolor
5.01,3.29,1.37,0.45,setosa
6.76,2.95,5.26,2.23,virginica
5.45,3.22,1.82,0.52,setosa
7.13,3.19,5.55,1.67,virginica
6.91,2.67,5.62,1.91,virginica
5.94,3.05,4.89,2.34,virginica
6.85,3.07,5.64,2.19,virginica
6.89,3.16,5.52,1.91,virginica
6.03,3.10,4.02,1.20,versicolor
6.35,2.76,5.66,1.86,virginica
5.13,3.25,1.29,0.21,setosa
6.46,2.88,4.30,1.38,versicolor
5.28,3.33,1.51,0.10,setosa
6.72,3.01,5.44,1.98,virginica
6.00,2.83,4.11,1.24,versicolor
5.64,3.31,4.24,1.33,versicolor
5.65,2.45,4.10,1.23,versicolor
4.89,2.80,1.80,0.40,setosa
6.73,3.00,6.15,2.19,virginica
5.03,2.92,1.70,0.13,setosa
5.23,3.44,2.12,0.29,setosa
4.91,3.26,1.07,0.46,setosa
6.74,3.10,5.70,2.21,virginica
5.57,2.96,1.40,0.29,setosa
5.97,2.72,4.22,0.95,versicolor
6.26,2.76,5.51,1.92,virginica
4.21,3.53,1.19,0.42,setosa
7.00,2.90,5.59,2.24,virginica
6.13,2.90,4.25,1.30,versicolor
4.63,3.29,1.17,0.13,setosa
4.92,3.15,1.29,0.33,setosa
5.12,3.26,1.37,0.44,setosa
5.04,3.47,1.47,0.43,setosa
6.55,2.81,6.14,1.73,virginica
5.76,2.90,4.52,1.17,versicolor
5.70,2.44,4.93,1.31,versicolor
6.39,3.07,5.85,1.98,virginica
6.78,2.92,4.87,1.85,virginica
6.87,2.92,5.27,1.98,virginica
5.99,2.66,4.50,0.99,versicolor
5.92,3.11,4.22,1.51,versicolor
6.41,2.84,5.39,1.77,virginica
6.63,3.21,5.04,1.96,virginica
4.90,3.61,1.60,0.61,setosa
4.83,3.79,1.41,0.21,setosa
7.00,3.04,6.28,2.30,virginica
5.23,3.25,1.46,0.29,setosa
4.89,3.12,1.20,0.39,setosa
5.34,3.58,1.70,0.27,setosa
5.66,2.99,4.55,1.52,versicolor
4.43,3.58,2.31,0.38,setosa
5.87,3.43,4.32,1.20,versicolor
6.59,2.93,5.74,1.99,virginica
5.47,3.32,1.41,0.05,setosa
6.49,2.95,6.63,2.06,virginica
5.82,3.23,1.46,0.22,setosa
5.42,3.75,1.29,-0.06,setosa
6.17,2.89,4.65,1.22,versicolor
5.56,3.23,1.87,0.36,setosa
7.09,3.00,5.85,1.82,virginica
4.61,3.35,1.43,0.28,setosa
6.90,2.90,5.77,1.80,virginica
4.93,3.63,1.35,0.28,setosa
4.60,3.81,1.36,0.03,setosa
6.39,2.95,5.15,1.97,virginica
6.49,3.26,5.29,1.85,virginica
6.08,2.91,4.15,1.27,versicolor
4.71,3.26,1.42,0.07,setosa
4.83,3.59,1.19,0.30,setosa
6.54,2.78,4.11,1.17,versicolor
5.99,2.51,4.32,1.32,versicolor
4.63,3.27,0.82,0.47,setosa
6.52,3.36,5.59,2.05,virginica
6.07,2.84,5.60,2.10,virginica
6.24,3.06,5.00,1.83,virginica
5.60,2.70,3.91,1.48,versicolor
5.44,2.74,4.80,1.22,versicolor
5.35,3.24,1.29,0.41,setosa
5.13,3.48,1.37,0.61,setosa
4.81,3.37,1.17,0.03,setosa
6.12,3.15,4.45,1.28,versicolor
5.86,3.11,4.01,1.13,versicolor
4.86,3.34,1.57,0.44,setosa
6.44,2.89,4.64,1.31,versicolor
6.55,2.52,5.68,1.99,virginica
4.86,3.35,1.59,0.03,setosa
5.87,2.97,4.11,1.40,versicolor
4.96,3.34,1.73,0.05,setosa
6.24,2.95,4.04,1.05,versicolor
5.86,2.72,4.82,1.58,versicolor
6.15,2.82,4.23,1.32,versicolor
6.96,3.17,5.10,2.04,virginica
5.49,3.37,1.45,0.40,setosa
4.85,3.30,1.69,0.20,setosa
5.55,2.69,4.31,1.26,versicolor
6.82,2.99,5.28,1.81,virginica
5.10,3.36,1.56,0.30,setosa
5.05,3.20,1.64,0.43,setosa
6.77,3.03,6.07,1.57,virginica
5.15,3.22,1.29,0.14,setosa
6.69,3.11,5.42,1.86,virginica
6.73,3.04,4.51,1.31,versicolor
5.32,3.27,1.37,0.47,setosa
6.67,2.95,5.03,2.11,virginica
5.22,3.33,1.65,0.09,setosa
6.87,2.85,5.79,1.97,virginica
6.08,2.85,5.56,2.15,virginica
4.84,3.30,1.73,0.28,setosa
6.55,2.88,5.23,1.97,virginica
6.71,2.54,6.01,1.70,virginica
6.06,2.79,5.07,1.44,versicolor
5.15,3.55,1.88,0.13,setosa
6.53,3.08,5.55,2.23,virginica
6.44,2.97,3.87,1.29,versicolor
5.34,3.26,1.79,0.24,setosa
5.21,3.38,1.58,0.22,setosa
4.81,3.38,1.42,-0.01,setosa
5.88,3.00,4.98,2.33,virginica
4.62,3.60,1.59,0.45,setosa
5.94,2.69,4.18,1.42,versicolor
6.18,2.45,4.81,1.31,versicolor
4.99,3.61,1.69,0.01,setosa
4.74,2.96,1.46,0.22,setosa
5.70,2.73,3.99,1.32,versicolor
6.47,3.17,5.63,2.08,virginica
6.62,2.94,5.43,1.95,virginica
6.02,3.20,5.46,1.97,virginica
5.40,3.14,1.64,0.36,setosa
6.00,2.99,3.83,1.53,versicolor
5.48,3.46,1.43,0.46,setosa
5.87,2.81,4.55,1.43,versicolor
5.81,2.44,4.20,1.42,versicolor
6.63,3.07,4.29,1.23,versicolor
5.04,2.67,4.28,1.47,versicolor
5.39,3.40,1.09,0.00,setosa
5.74,3.20,5.76,2.09,virginica
6.46,3.02,5.54,2.11,virginica
6.05,3.03,4.39,1.44,versicolor
7.20,2.85,5.47,1.91,virginica
5.85,2.58,4.43,1.34,versicolor
6.61,2.73,4.91,1.99,virginica
6.08,3.03,4.68,1.21,versicolor
6.62,2.73,3.89,1.30,versicolor
4.65,3.42,1.40,0.06,setosa
5.55,2.70,4.31,1.13,versicolor
6.93,2.74,5.67,2.27,virginica
6.33,2.60,3.77,1.12,versicolor
6.39,2.93,5.32,1.70,virginica
6.96,3.15,5.74,2.03,virginica
5.19,3.26,1.49,0.43,setosa
6.56,2.63,4.61,1.26,versicolor
6.12,3.03,4.19,1.06,versicolor
6.67,3.29,5.43,1.81,virginica
4.56,3.61,1.60,0.06,setosa
6.51,3.51,5.85,1.76,virginica
6.49,2.50,4.56,1.26,versicolor
6.17,2.86,4.51,1.34,versicolor
6.15,2.93,4.85,1.36,versicolor
7.54,3.04,4.76,1.92,virginica
5.86,2.92,4.09,1.52,versicolor
6.15,2.74,4.32,1.37,versicolor
6.69,2.77,5.14,2.26,virginica
5.47,3.41,1.15,0.08,setosa
6.56,2.95,5.32,1.76,virginica
6.02,2.89,4.26,1.09,versicolor
6.63,2.77,5.70,2.00,virginica
6.23,3.02,6.22,2.00,virginica
5.32,3.54,1.54,0.26,setosa
6.37,2.73,4.17,1.69,versicolor
5.74,2.70,4.45,1.29,versicolor
5.68,2.92,4.23,1.33,versicolor
